review_id,course_id,review_text,rating,professor,date,source
CMSC131_407,CMSC131,"The fact that I am paying tens of thousands of dollars to come to UMD, just to have this quality of teacher is totally abysmal. I don’t know if the CS department was in lala land or what while hiring this man. But this professor is an absolute joke. The CS department is better off hiring a homeless man from Baltimore to teach this class. The 5 stars are actual bots that probably already knew CS and are just rage baiting everyone with their reviews. 

My TA was a horribly smelling dude that showed up to discussion and quickly went through some code and left 30 minutes early. 

The inconsistency with professors at the UMD CS department makes no sense. Elias in contrast is just an easy A and makes CS understandable because he’s an actual teacher and not some dude off the street.",1,Ilchul Yoon,2025-09-17T14:49:19.967563Z,PlanetTerp
CMSC131_406,CMSC131,"This class was a genuine disaster. None of the study material ever matched the content on the tests or quizzes. Yoon is a nice person I guess but you can hardly ever understand him and he really does not teach well. For people new to CMSC he tends to not explain many of the terms he is talking about. He quickly moves through units without any time for students to grasp concepts. You can get a B or A but it is genuinely very difficult and requires a LOT of time. If you get a bad grade in his class please do not think you are bad at CMSC, he's just a bad starter professor for CMSC.",1,Ilchul Yoon,2025-09-08T14:45:03.547079Z,PlanetTerp
CMSC131_405,CMSC131,"I wish I could give negative stars. DROP HIM IF YOU CAN YOU WILL LITERALLY SPEND EVERY WEEK CRYING HE IS A TERRIBLE TEACHER. I thought I was just really dumb and almost reconsidered CS until I talked to other CS majors and realized he is known to be the worst. There are so many horror stories, the other teachers are not nearly as bad at all. SAVE YOURSELF AND DROP HIS CLASS",1,Ilchul Yoon,2025-09-04T14:15:29.168407Z,PlanetTerp
CMSC131_404,CMSC131,"No professor has invoked such passion as Yoon has for me. I didn't come for the content. I came to see Yoon. Honest take on his 131 class now. He starts off teaching with a software called processing, which, especially for beginners, is really nice to help visualize programs, and write with higher level syntax. The issue - our first two out of three midterms were based on it, meaning we only started using legit Java halfway through the semester, which takes a bit of time to adjust to. It would have been more helpful to start on it earlier. 132 is supposed to be the stepping stone to this class, but it's a bit difficult when you only get a small bit of exposure to java. I didn't do bad in the course, but it could have been a lot worse. I'm not a perfect student, but I came to class every day, went to discussions. Many questions on the midterms were extremely extraneous, maybe a concept only discussed once, or even something that wasn't explicitly stated, that you were just supposed to stumble upon on your own. I studied out of fear that certain random, trivial concepts would appear. Maybe I even learned more than I would have with a different professor, just because of this. For some reason, I still enjoyed the class. Maybe ironically, but everyone is in the same boat, so you make what you can out of it. He is truly a professor who cares and will stay 30 minutes after class just to help you with any questions you have.",4,Ilchul Yoon,2025-08-14T16:34:43.787712Z,PlanetTerp
CMSC131_403,CMSC131,"No class should require 25+ hours of studying for a single quiz, and yet that's what it took. This class actually burned me out and made me reconsider doing CS at all. Even my friends got sick of me tweaking out over his class all the time. Even with the extra credit, it was such a mess. Don't take it with him unless you want a therapy bill the length of one of his midterms.",1,Ilchul Yoon,2025-06-03T20:32:19.779035Z,PlanetTerp
CMSC131_402,CMSC131,Also all the five star reviews are very clearly just Yoon writing them himself.,1,Ilchul Yoon,2025-05-25T17:16:04.716534Z,PlanetTerp
CMSC131_401,CMSC131,The average final grade in his class is a 67% which is a failing grade or at least not able to progress to the next level of compsci. And I think that should tell you all you need to know about his quality of teaching and if you should take him or not.,1,Ilchul Yoon,2025-05-25T17:14:37.109947Z,PlanetTerp
CMSC131_400,CMSC131,"Yoon is an interesting guy. His 131 class is definitely much harder than that of someone like Elias, so if someone else is available, do not take Yoon. With that being said, this class is not impossible. In the end, it is still 131, so the topics covered aren't that complex. What makes it hard is the exams and quizzes he gives, which end up having very low average. For this semester the exam averages were as follows, M1: 64, M2: 59, M3: 52, Final: 60. Obviously these are not great, but I think that they should have been higher. Exam 1 was definitely hard, but exam 2 was significantly easier, and had a lower mean. Exam 3 was hard, but the final was easier than normal. The projects and lab assignments are very easy grade booster, and account for a large percent of your grade. He also gave an opportunity for 2.5% extra credit that would be added on to your final grade percentage. I ended up getting a 91 with that extra credit, which curved to an A+. He does curve the class at the end, but I'm not sure by how much. Yoon is a nice guy, but the class is hard. Avoid him if possible, it's just extra stress you don't need.

TLDR: This class is hard, but it's very possible to get an A if you really understand the topics of the course and study the previous exams. Curves at the end of the course",3,Ilchul Yoon,2025-05-25T05:12:00.922214Z,PlanetTerp
CMSC131_399,CMSC131,switching to electrical engineering i dont want to do anything related to cs for awhile,1,Ilchul Yoon,2025-05-22T16:31:14.847170Z,PlanetTerp
CMSC131_398,CMSC131,I bet there's thousands of reviews that don't actually make it but if you're still considering taking Yoon even after the very many horrible reviews you deserve what's coming at you. He is a good guy always in a good mood like a nice huggable panda but omg I'd sooner slurp pasta off the floor at the Y than take his classes ever again. This was a truly a mentally draining semester with him. Take him at your own peril.,1,Ilchul Yoon,2025-05-22T02:00:03.136145Z,PlanetTerp
CMSC131_397,CMSC131,"This was my first CS class ever. And it was also my last. I couldn't stay in it anymore (as someone taking it for the 4 ""easy"" credits). Maybe I'm just stupid, but coming in with no experience in CS, I found this class boring and exhausting. The jump in difficulty was extreme for me -- we went from coding animals using basic shapes to pong. I cried to my dad and dropped the class. I think Dr. Yoon is genuinely a nice guy. He cares about his students, but maybe he just also hates them at the same time. Otherwise, why would he make this intro class so stupidly hard? I did enjoy staring at his shiny, bald head during lecture, though.",2,Ilchul Yoon,2025-05-20T17:23:47.579811Z,PlanetTerp
CMSC131_396,CMSC131,"Some of these bots are giving him a five-star rating for no valid reason, which is misleading to others. I hope that if it’s Yoon himself, he sees this and changes his teaching methods. I want to emphasize that I have no personal animosity toward Yoon; however, his teaching style has genuinely made me not go with computer engineering as a major. Please stop misleading people, whoever is behind that burnout account and being specfic like the one that was recently posted.",1,Ilchul Yoon,2025-05-17T00:26:04.155117Z,PlanetTerp
CMSC131_395,CMSC131,"Keep in mind that 131 is a hard class no matter who you take it with, and some of these reviews are because people did not put in the effort. Yoon is an incredible teacher, sure his exams are hard, but they are not off topic. He really cares about his students and if you ask him a question or for advice he will go out of his way to help you. He is a very humorous person and this makes his lectures very enjoyable. When preparing for exams, make sure to go through all the relevant slides and examples because some of the questions he gives are either on there or very close to it. Sure, I had a hard time in this class, but I ended up learning and understanding more about the subject then I would with any other teacher. He does not deserve all of the hate that he gets, and I would 100% take him again now that I know what to expect.",5,Ilchul Yoon,2025-05-13T18:50:07.028357Z,PlanetTerp
CMSC131_394,CMSC131,"Also he has a really awful policy called a ""Good faith attempt"" where if your coding assignment doesn't hit the requirements for it, then he will drop your grade a whole letter grade. So if you were to (somehow) do perfect on everything else in this class, except for one programming assignment where it barely hits the good faith attempt requirements, then instead of getting an A with a 95%, you have a B now.",1,Ilchul Yoon,2025-05-07T15:33:36.480061Z,PlanetTerp
CMSC131_393,CMSC131,"To add to my last review of him, he also made a coding project that is due during finals week. Like yeah that's not the worst thing ever for a teacher but considering every other aspect about how bad he is the programming assignment is just the cherry on top for why you should avoid his class.",1,Ilchul Yoon,2025-05-06T00:23:36.171596Z,PlanetTerp
CMSC131_392,CMSC131,"If you can avoid him please do, his lectures are an absolute snooze fest, he explains a concept on Wednesday then it's on the quiz on Friday. Not to mention he gives one practice quiz/exam and then it has little to do with the actual exam/quiz. I took this class at my previous university and I still could not understand what he was trying to teach even with the background knowledge that I had on Object oriented programming. The projects really aren't that bad as the instructions that he gives are really in depth on what he is expecting but the amount of projects he gives might make you go insane. I know that compsci classes give a lot of coding projects but I'm talking like he'll give a project, then 2 days into the project he'll give a lab coding assignment, and then 3-4 days before the first project is due he'll assign the next one. Please avoid him if you can.",1,Ilchul Yoon,2025-05-05T23:15:12.950653Z,PlanetTerp
